year,month,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,WSPM,time
2015,12,150.06306003584228,160.03068996415772,19.344198028673834,74.41241039426524,2798.700716845878,17.31070788530466,-0.3163082437275986,1022.3928203405018,1.7284386200716846,12/2015
2016,1,66.84744623655914,82.5695564516129,19.885640681003583,50.511648745519715,1565.625,30.140905017921146,-4.576232078853047,1024.2771617383512,2.149719982078853,1/2016
2016,2,42.75275383141762,56.82519157088122,14.579621647509578,33.49556992337165,883.5009578544061,48.5507662835249,1.234051724137931,1020.904992816092,2.463721264367816,2/2016
2016,3,92.49820788530467,134.44802867383513,17.763216845878137,55.279793906810035,1212.0967741935483,48.65568996415771,8.993929211469535,1015.1185035842294,2.0440636200716846,3/2016
2016,4,67.99085648148149,114.05324074074075,9.750578703703704,41.83738425925926,778.9236111111111,71.52986111111112,16.336354166666666,1006.2142592592592,2.3523958333333335,4/2016
2016,5,55.358198924731184,87.83142921146954,8.034386200716845,36.213373655913976,680.6451612903226,96.1396729390681,21.282482078853047,1003.9719422043011,2.144186827956989,5/2016
2016,6,58.53981481481482,75.90185185185184,5.041666666666667,34.04710648148148,741.3541666666666,108.59953703703704,25.406875,999.2255555555556,1.778587962962963,6/2016
2016,7,69.57750896057348,77.76500896057348,3.433915770609319,31.71482974910394,893.7051971326165,106.89796146953405,27.345911738351255,999.1381608422939,1.6243167562724015,7/2016
2016,8,45.84722222222222,58.06586021505376,2.8521505376344085,32.95956541218638,817.3499103942652,78.41778673835125,27.39668458781362,1002.0923499103943,1.553853046594982,8/2016
2016,9,53.679282407407406,67.3818287037037,3.3310185185185186,40.40706018518519,747.8935185185185,54.69363425925926,21.744291413818818,1007.7325318287166,1.501111111111111,9/2016
2016,10,86.78561827956989,100.7793458781362,4.309139784946237,53.26870519713262,1124.7983870967741,23.781810035842295,13.057236609804324,1015.4929767505492,1.4557235663082437,10/2016
2016,11,97.44143518518518,130.29849537037038,11.120486111111111,65.6417824074074,1752.974537037037,16.743055555555557,4.198391203703704,1018.9178703703705,1.603761574074074,11/2016
2016,12,128.7488799283154,149.63306451612902,17.054659498207887,77.49451164874552,2428.1698028673836,17.876232078853047,0.22625448028673836,1021.7918682795699,1.4987455197132615,12/2016
2017,1,113.89258512544802,133.66173835125448,18.55331541218638,63.09094982078853,2042.562724014337,33.97860663082437,-1.4288615115045524,1023.2462138910223,1.9886648745519713,1/2017
2017,2,68.95932539682539,85.64260912698413,17.62673611111111,50.65984623015873,1152.641369047619,46.596354166666664,2.3490304646164017,1020.3613012566137,2.011470734126984,2/2017
